,baby_laughing,baby_singing,beach,boiling_water_with_kettle,bird_singing,boxing,bubble_wrap_popping,cat_meowing,child_crying,chainsaw_cutting,cow_moo,dolphin_call,dot_matrix_printer,drinking_sounds,donkey_braying,drum_roll,finger_snapping,eating_sounds,glass_breaking,hammer_a_nail,guitar_plucking,helicopter_landing,horse_neighing,key_open_a_door,kid_screaming,lighter,interview,lion_roar,mud_bubbling,male_choir,people_running,person_laughing,person_singing,person_speaking_in_natural_scene,piano_player,pig_oink,plane_taking_off,police_car_with_siren,rain,rooster_crowing,snowfall,sweep,river,tearing_paper,typing_keyboard,wind,fireplace,walking_on_gravel,heartbeat,steam_train
baby_laughing,,0.007734083922883558,,,,,,,,,,,,,,,,,,,,,,,0.004552486003568342,,,,,,,,,,,,,,,,,,,,,,,,,
baby_singing,0.007734083922883558,,,,,,,,0.007132937542821222,,,,,,,,,,,,,,,,0.008603567989706417,,,,,,,,,,,,,,,,,,,,,,,,,
beach,,,,,,,,,,,,0.0036056717099172105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiling_water_with_kettle,,,,,,,,,,,,,,0.008233085854721602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird_singing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005532495616995883,,,,,,,,,,
boxing,,,,,,,,,,0.00879817500494088,,,,,,,,,,,,,,,,,,,,0.008427283373788218,0.007268323352902071,,,,,,,,,,,,,,,,,,,
bubble_wrap_popping,,,,,,,,,,,,,,,,,0.003932120936880551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat_meowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003291874250167054,,,,,,,,0.0077827954919684915,,,,,,,,,,,,,,
child_crying,,0.007132937542821222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chainsaw_cutting,,,,,,0.00879817500494088,,,,,,,,,,,,,,0.008819868287025837,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004350253044731547,,
cow_moo,,,,,,,,,,,,,,,0.007659098529897937,,,,,,,,0.008957776188844342,,,,,,,,,,,,,0.009752591381362846,,,,,,,,,,,,,,
dolphin_call,,,0.0036056717099172105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dot_matrix_printer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drinking_sounds,,,,0.008233085854721602,,,,,,,,,,,,,,,,,,,,,,,,,,0.008791929644855574,,,0.008683769909256006,,,,,,,,,,,,,,,,,
donkey_braying,,,,,,,,,,,0.007659098529897937,,,,,,,,,,,,0.00422122221983052,,,,,,,,,,,,,,,,,0.009142071867200403,,,,,,,,,,
drum_roll,,,,,,,,,,,,,,,,,,,,,0.005914326331535964,,,,,,,,,,,,,,0.008659288073275734,,,,,,,,,,,,,,,
finger_snapping,,,,,,,0.003932120936880551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eating_sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004950149339527869,,,,,,,,,,,,,,,,
glass_breaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hammer_a_nail,,,,,,,,,,0.008819868287025837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guitar_plucking,,,,,,,,,,,,,,,,0.005914326331535964,,,,,,,,,,,,,,0.009008230253519777,,,0.009377979815210762,,0.004915276404070243,,,,,,,,,,,,,,,
helicopter_landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0065447510115785815,,,,,,,,,,,,,0.00971407693066134
horse_neighing,,,,,,,,,,,0.008957776188844342,,,,0.00422122221983052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_open_a_door,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kid_screaming,0.004552486003568342,0.008603567989706417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lighter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009218568028082493,,,
interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006383565949499153,,,,,
lion_roar,,,,,,,,0.003291874250167054,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008442376835754288,,,,,,,,,,,,,,
mud_bubbling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male_choir,,,,,,0.008427283373788218,,,,,,,,0.008791929644855574,,,,,,,0.009008230253519777,,,,,,,,,,,0.009324675019911202,0.006819411516698097,,0.00863009922806036,,,,,,,,,,,,,,,
people_running,,,,,,0.007268323352902071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_laughing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009324675019911202,,,0.007186604806969817,,,,,,,,,,,,,,,,,
person_singing,,,,,,,,,,,,,,0.008683769909256006,,,,,,,0.009377979815210762,,,,,,,,,0.006819411516698097,,0.007186604806969817,,,0.008658163191707247,,,,,,,,,,,,,,,
person_speaking_in_natural_scene,,,,,,,,,,,,,,,,,,0.004950149339527869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piano_player,,,,,,,,,,,,,,,,0.008659288073275734,,,,,0.004915276404070243,,,,,,,,,0.00863009922806036,,,0.008658163191707247,,,,,,,,,,,,,,,,,
pig_oink,,,,,,,,0.0077827954919684915,,,0.009752591381362846,,,,,,,,,,,,,,,,,0.008442376835754288,,,,,,,,,,,,,,,,,,,,,,
plane_taking_off,,,,,,,,,,,,,,,,,,,,,,0.0065447510115785815,,,,,,,,,,,,,,,,,,,,,,,,,,,,
police_car_with_siren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006938512445957172
rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005065952083425804,,,,,,,
rooster_crowing,,,,,0.005532495616995883,,,,,,,,,,0.009142071867200403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snowfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066736157061398045,,,,
sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005065952083425804,,,,,,,,,,,
tearing_paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typing_keyboard,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006383565949499153,,,,,,,,,,,,,,,,,,,,,,,
wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0066736157061398045,,,,,,,,,
fireplace,,,,,,,,,,,,,,,,,,,,,,,,,,0.009218568028082493,,,,,,,,,,,,,,,,,,,,,,,,
walking_on_gravel,,,,,,,,,,0.004350253044731547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heartbeat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam_train,,,,,,,,,,,,,,,,,,,,,,0.00971407693066134,,,,,,,,,,,,,,,,0.006938512445957172,,,,,,,,,,,,
