,0
0,baby_laughing
1,baby_singing
2,beach
3,boiling_water_with_kettle
4,bird_singing
5,boxing
6,bubble_wrap_popping
7,cat_meowing
8,child_crying
9,chainsaw_cutting
10,cow_moo
11,dolphin_call
12,dot_matrix_printer
13,drinking_sounds
14,donkey_braying
15,drum_roll
16,finger_snapping
17,eating_sounds
18,glass_breaking
19,hammer_a_nail
20,guitar_plucking
21,helicopter_landing
22,horse_neighing
23,key_open_a_door
24,kid_screaming
25,lighter
26,interview
27,lion_roar
28,mud_bubbling
29,male_choir
30,people_running
31,person_laughing
32,person_singing
33,person_speaking_in_natural_scene
34,piano_player
35,pig_oink
36,plane_taking_off
37,police_car_with_siren
38,rain
39,rooster_crowing
40,snowfall
41,sweep
42,river
43,tearing_paper
44,typing_keyboard
45,wind
46,fireplace
47,walking_on_gravel
48,heartbeat
49,steam_train
